id,title,start,endDate,city,level,client,applicationDeadline,status,url,source
62280,Project Safeguard / C&E Customer Review - Sanctions,2025-01-07,2025-05-05,Oslo,SENIOR,Nordea Bank Abp S.A,2025-01-07T23:59:00+01:00,OPEN,https://app.verama.com/en/job-requests/62280,Verama
62279,Bistand innen anskaffelser – Prosjektleder IT-anskaffelser,2025-01-15,2025-12-31,Oslo,SENIOR,Tolletaten,2025-01-08T23:59:00+01:00,OPEN,https://app.verama.com/en/job-requests/62279,Verama
62259,4x Senior IT Analyst,2025-01-03,2025-02-28,Stockholm,SENIOR,Nordea Bank Abp,2025-01-07T23:59:00+01:00,OPEN,https://app.verama.com/en/job-requests/62259,Verama
62209,UI-designer til Sokkeldirektoratet,2025-02-01,2026-02-01,Stavanger,SENIOR,Ework Group Norge AS,2025-01-15T23:59:00+01:00,OPEN,https://app.verama.com/en/job-requests/62209,Verama
62206,Test/release-ressurs til Sokkeldirektoratet,2025-02-10,2026-02-10,Stavanger,SENIOR,Ework Group Norge AS,2025-01-15T23:30:00+01:00,OPEN,https://app.verama.com/en/job-requests/62206,Verama
62063,Rådgivning og systemverifikasjon - Telekommunikasjon ,2025-01-13,2025-10-31,Oslo,SENIOR,Helse Sør-Øst RHF,2025-01-07T23:30:00+01:00,OPEN,https://app.verama.com/en/job-requests/62063,Verama
62048,Generelle sikkerhetstjenester - HDO,2025-02-10,2025-12-31,Oslo,SENIOR,Helsetjenestens driftsorganisasjon for nødnett HF,2025-01-29T23:30:00+01:00,OPEN,https://app.verama.com/en/job-requests/62048,Verama
62047,Sikkerhetstjenester og Sikkerhetstesting  - HDO,2025-01-31,2025-12-31,Oslo,SENIOR,Helsetjenestens driftsorganisasjon for nødnett HF,2025-01-09T23:30:00+01:00,OPEN,https://app.verama.com/en/job-requests/62047,Verama
62016,Release manager til SP – Bygg – Løsningsfabrikken,2025-01-20,2025-12-31,Oslo,SENIOR,Helse Sør-Øst RHF,2025-01-08T08:00:00+01:00,OPEN,https://app.verama.com/en/job-requests/62016,Verama
61828,"Fullstack utviklere, Vue - Telenor",2025-01-20,2025-12-31,Oslo,SENIOR,Telenor Norge AS,2025-01-07T12:00:00+01:00,OPEN,https://app.verama.com/en/job-requests/61828,Verama
